ambulance_id,base_id,base_name,area,sector,vehicle_type,capacity,status,current_latitude,current_longitude,driver_id,last_serviced
AMB0001,A001,Ambulance Base - Ennore,Ennore,North,ALS,2,AVAILABLE,13.2128,80.318086,DRV0001,2026-06-05
AMB0002,A001,Ambulance Base - Ennore,Ennore,North,ALS,2,AVAILABLE,13.217737,80.316996,DRV0002,2026-07-15
AMB0003,A002,Ambulance Base - Tiruvottiyur,Tiruvottiyur,North,ALS,2,AVAILABLE,13.157749,80.301043,DRV0003,2026-09-04
AMB0004,A002,Ambulance Base - Tiruvottiyur,Tiruvottiyur,North,BLS,1,AVAILABLE,13.161199,80.30136,DRV0004,2026-08-10
AMB0005,A002,Ambulance Base - Tiruvottiyur,Tiruvottiyur,North,BLS,1,AVAILABLE,13.162475,80.297052,DRV0005,2026-05-27
AMB0006,A003,Ambulance Base - Manali,Manali,North-West,ALS,2,AVAILABLE,13.165422,80.255244,DRV0006,2026-06-02
AMB0007,A003,Ambulance Base - Manali,Manali,North-West,BLS,1,AVAILABLE,13.165739,80.256872,DRV0007,2026-07-25
AMB0008,A004,Ambulance Base - Madhavaram,Madhavaram,North-West,BLS,1,AVAILABLE,13.144548,80.231075,DRV0008,2026-08-23
AMB0009,A004,Ambulance Base - Madhavaram,Madhavaram,North-West,BLS,1,AVAILABLE,13.146545,80.232429,DRV0009,2026-05-17
AMB0010,A004,Ambulance Base - Madhavaram,Madhavaram,North-West,BLS,1,AVAILABLE,13.149837,80.227767,DRV0010,2026-08-09
AMB0011,A005,Ambulance Base - Red Hills/Puzhal,Puzhal,North-West,BLS,1,OFFLINE,13.160843,80.206432,DRV0011,2026-07-21
AMB0012,A005,Ambulance Base - Red Hills/Puzhal,Puzhal,North-West,BLS,1,AVAILABLE,13.160673,80.200801,DRV0012,2026-07-24
AMB0013,A006,Ambulance Base - Tondiarpet,Tondiarpet,North,ALS,2,AVAILABLE,13.128615,80.290968,DRV0013,2026-08-29
AMB0014,A006,Ambulance Base - Tondiarpet,Tondiarpet,North,BLS,1,AVAILABLE,13.127273,80.287458,DRV0014,2026-07-10
AMB0015,A006,Ambulance Base - Tondiarpet,Tondiarpet,North,BLS,1,AVAILABLE,13.130403,80.291005,DRV0015,2026-08-10
AMB0016,A006,Ambulance Base - Tondiarpet,Tondiarpet,North,BLS,1,BUSY,13.129208,80.287332,DRV0016,2026-09-03
AMB0017,A007,Ambulance Base - Royapuram,Royapuram,North-Central,BLS,1,AVAILABLE,13.10953,80.297305,DRV0017,2026-06-27
AMB0018,A007,Ambulance Base - Royapuram,Royapuram,North-Central,BLS,1,AVAILABLE,13.112994,80.297077,DRV0018,2026-06-17
AMB0019,A007,Ambulance Base - Royapuram,Royapuram,North-Central,BLS,1,AVAILABLE,13.110117,80.29596,DRV0019,2026-07-01
AMB0020,A008,Ambulance Base - Perambur,Perambur,North-Central,BLS,1,BUSY,13.117427,80.234368,DRV0020,2026-07-23
AMB0021,A008,Ambulance Base - Perambur,Perambur,North-Central,ALS,2,OFFLINE,13.115107,80.233648,DRV0021,2026-06-03
AMB0022,A008,Ambulance Base - Perambur,Perambur,North-Central,ALS,2,EN_ROUTE,13.115223,80.23098,DRV0022,2026-06-12
AMB0023,A009,Ambulance Base - Basin Bridge,Basin Bridge,North-Central,BLS,1,AVAILABLE,13.100978,80.272467,DRV0023,2026-07-10
AMB0024,A009,Ambulance Base - Basin Bridge,Basin Bridge,North-Central,BLS,1,AVAILABLE,13.102326,80.275239,DRV0024,2026-06-12
AMB0025,A009,Ambulance Base - Basin Bridge,Basin Bridge,North-Central,ALS,2,AVAILABLE,13.102196,80.269835,DRV0025,2026-06-17
AMB0026,A010,Ambulance Base - Park Town/Central,Park Town,Central,BLS,1,AVAILABLE,13.080778,80.27653,DRV0026,2026-06-07
AMB0027,A010,Ambulance Base - Park Town/Central,Park Town,Central,BLS,1,OFFLINE,13.083396,80.276961,DRV0027,2026-08-25
AMB0028,A010,Ambulance Base - Park Town/Central,Park Town,Central,BLS,1,BUSY,13.081361,80.274491,DRV0028,2026-07-22
AMB0029,A010,Ambulance Base - Park Town/Central,Park Town,Central,ALS,2,AVAILABLE,13.083529,80.277143,DRV0029,2026-09-07
AMB0030,A011,Ambulance Base - Egmore,Egmore,Central,BLS,1,AVAILABLE,13.069356,80.264333,DRV0030,2026-05-18
AMB0031,A011,Ambulance Base - Egmore,Egmore,Central,BLS,1,AVAILABLE,13.071127,80.261439,DRV0031,2026-08-28
AMB0032,A011,Ambulance Base - Egmore,Egmore,Central,ALS,2,BUSY,13.075728,80.264724,DRV0032,2026-07-01
AMB0033,A012,Ambulance Base - Kilpauk,Kilpauk,Central-West,ALS,2,AVAILABLE,13.077802,80.243398,DRV0033,2026-08-05
AMB0034,A012,Ambulance Base - Kilpauk,Kilpauk,Central-West,BLS,1,EN_ROUTE,13.077385,80.240694,DRV0034,2026-06-30
AMB0035,A012,Ambulance Base - Kilpauk,Kilpauk,Central-West,ALS,2,BUSY,13.077192,80.244373,DRV0035,2026-07-22
AMB0036,A012,Ambulance Base - Kilpauk,Kilpauk,Central-West,BLS,1,EN_ROUTE,13.077612,80.240983,DRV0036,2026-08-30
AMB0037,A013,Ambulance Base - Anna Nagar,Anna Nagar,West-Central,BLS,1,AVAILABLE,13.085431,80.210708,DRV0037,2026-09-07
AMB0038,A013,Ambulance Base - Anna Nagar,Anna Nagar,West-Central,ALS,2,BUSY,13.081471,80.206539,DRV0038,2026-09-03
AMB0039,A013,Ambulance Base - Anna Nagar,Anna Nagar,West-Central,BLS,1,AVAILABLE,13.082904,80.211352,DRV0039,2026-08-11
AMB0040,A014,Ambulance Base - Mogappair,Mogappair,West,BLS,1,AVAILABLE,13.087184,80.175568,DRV0040,2026-07-09
AMB0041,A014,Ambulance Base - Mogappair,Mogappair,West,ALS,2,BUSY,13.08616,80.172523,DRV0041,2026-08-26
AMB0042,A014,Ambulance Base - Mogappair,Mogappair,West,BLS,1,AVAILABLE,13.082989,80.177911,DRV0042,2026-09-01
AMB0043,A015,Ambulance Base - Ambattur,Ambattur,West-North,ALS,2,AVAILABLE,13.116126,80.157205,DRV0043,2026-08-25
AMB0044,A015,Ambulance Base - Ambattur,Ambattur,West-North,ALS,2,AVAILABLE,13.11459,80.151921,DRV0044,2026-08-15
AMB0045,A015,Ambulance Base - Ambattur,Ambattur,West-North,BLS,1,AVAILABLE,13.117296,80.151403,DRV0045,2026-05-27
AMB0046,A016,Ambulance Base - Avadi,Avadi,West-North,BLS,1,AVAILABLE,13.107917,80.097325,DRV0046,2026-09-06
AMB0047,A016,Ambulance Base - Avadi,Avadi,West-North,ALS,2,EN_ROUTE,13.10949,80.09433,DRV0047,2026-07-07
AMB0048,A017,Ambulance Base - Koyambedu,Koyambedu,West-Central,BLS,1,AVAILABLE,13.068608,80.191269,DRV0048,2026-07-21
AMB0049,A017,Ambulance Base - Koyambedu,Koyambedu,West-Central,ALS,2,OFFLINE,13.067522,80.197073,DRV0049,2026-07-11
AMB0050,A017,Ambulance Base - Koyambedu,Koyambedu,West-Central,BLS,1,AVAILABLE,13.073059,80.198763,DRV0050,2026-06-28
AMB0051,A017,Ambulance Base - Koyambedu,Koyambedu,West-Central,BLS,1,AVAILABLE,13.067774,80.19855,DRV0051,2026-06-25
AMB0052,A018,Ambulance Base - Vadapalani,Vadapalani,West-Central,BLS,1,AVAILABLE,13.050909,80.208401,DRV0052,2026-07-08
AMB0053,A018,Ambulance Base - Vadapalani,Vadapalani,West-Central,BLS,1,EN_ROUTE,13.052649,80.208455,DRV0053,2026-07-04
AMB0054,A018,Ambulance Base - Vadapalani,Vadapalani,West-Central,ALS,2,EN_ROUTE,13.048948,80.208544,DRV0054,2026-05-20
AMB0055,A018,Ambulance Base - Vadapalani,Vadapalani,West-Central,ALS,2,AVAILABLE,13.055933,80.212557,DRV0055,2026-06-25
AMB0056,A019,Ambulance Base - Nungambakkam,Nungambakkam,Central,BLS,1,AVAILABLE,13.057056,80.243259,DRV0056,2026-06-27
AMB0057,A019,Ambulance Base - Nungambakkam,Nungambakkam,Central,BLS,1,AVAILABLE,13.058486,80.243358,DRV0057,2026-07-29
AMB0058,A019,Ambulance Base - Nungambakkam,Nungambakkam,Central,ALS,2,AVAILABLE,13.057447,80.243164,DRV0058,2026-07-11
AMB0059,A020,Ambulance Base - Anna Salai/Teynampet,Teynampet,Central-South,BLS,1,EN_ROUTE,13.045286,80.246575,DRV0059,2026-06-20
AMB0060,A020,Ambulance Base - Anna Salai/Teynampet,Teynampet,Central-South,BLS,1,OFFLINE,13.038386,80.248205,DRV0060,2026-08-05
AMB0061,A020,Ambulance Base - Anna Salai/Teynampet,Teynampet,Central-South,ALS,2,EN_ROUTE,13.044847,80.253534,DRV0061,2026-07-22
AMB0062,A020,Ambulance Base - Anna Salai/Teynampet,Teynampet,Central-South,BLS,1,AVAILABLE,13.04447,80.252128,DRV0062,2026-06-21
AMB0063,A021,Ambulance Base - Royapettah,Royapettah,Central-South,BLS,1,AVAILABLE,13.056837,80.262395,DRV0063,2026-06-15
AMB0064,A021,Ambulance Base - Royapettah,Royapettah,Central-South,ALS,2,EN_ROUTE,13.051374,80.260923,DRV0064,2026-08-25
AMB0065,A021,Ambulance Base - Royapettah,Royapettah,Central-South,BLS,1,AVAILABLE,13.052554,80.261685,DRV0065,2026-07-26
AMB0066,A021,Ambulance Base - Royapettah,Royapettah,Central-South,ALS,2,AVAILABLE,13.057123,80.264043,DRV0066,2026-08-06
AMB0067,A022,Ambulance Base - Mylapore,Mylapore,Central-South,ALS,2,AVAILABLE,13.033289,80.267913,DRV0067,2026-09-07
AMB0068,A022,Ambulance Base - Mylapore,Mylapore,Central-South,BLS,1,BUSY,13.034997,80.267796,DRV0068,2026-06-05
AMB0069,A022,Ambulance Base - Mylapore,Mylapore,Central-South,BLS,1,AVAILABLE,13.033321,80.265777,DRV0069,2026-08-29
AMB0070,A023,Ambulance Base - T. Nagar,T. Nagar,Central-South,ALS,2,AVAILABLE,13.044477,80.23476,DRV0070,2026-08-20
AMB0071,A023,Ambulance Base - T. Nagar,T. Nagar,Central-South,BLS,1,AVAILABLE,13.040266,80.237292,DRV0071,2026-05-29
AMB0072,A023,Ambulance Base - T. Nagar,T. Nagar,Central-South,ALS,2,EN_ROUTE,13.039481,80.232096,DRV0072,2026-08-25
