assignment_id,request_id,ambulance_id,attempt_number,assigned_at,response_time_sec,response,status
ASG00001,REQ00001,AMB0009,1,2026-08-27 10:52:29,19,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00002,REQ00002,AMB0022,1,2026-08-31 02:05:53,12,TIMEOUT,FALLBACK_TRIGGERED
ASG00003,REQ00002,AMB0057,2,2026-08-31 02:06:07,4,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00004,REQ00003,AMB0032,1,2026-09-05 17:21:42,4,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00005,REQ00004,AMB0021,1,2026-08-23 03:36:32,12,TIMEOUT,FALLBACK_TRIGGERED
ASG00006,REQ00004,AMB0092,2,2026-08-23 03:36:46,8,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00007,REQ00005,AMB0098,1,2026-08-15 13:54:35,13,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00008,REQ00006,AMB0119,1,2026-08-18 00:11:17,13,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00009,REQ00007,AMB0053,1,2026-08-10 23:40:01,10,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00010,REQ00008,AMB0123,1,2026-09-06 19:05:56,7,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00011,REQ00009,AMB0093,1,2026-09-08 14:26:17,11,REJECTED,FALLBACK_TRIGGERED
ASG00012,REQ00009,AMB0063,2,2026-09-08 14:26:30,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00013,REQ00010,AMB0116,1,2026-08-15 12:38:03,9,TIMEOUT,FALLBACK_TRIGGERED
ASG00014,REQ00010,AMB0120,2,2026-08-15 12:38:14,4,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00015,REQ00011,AMB0012,1,2026-09-01 23:27:11,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00016,REQ00012,AMB0078,1,2026-08-03 13:01:29,11,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00017,REQ00013,AMB0128,1,2026-08-21 05:51:39,15,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00018,REQ00014,AMB0092,1,2026-09-03 02:25:55,30,TIMEOUT,FALLBACK_TRIGGERED
ASG00019,REQ00014,AMB0018,2,2026-09-03 02:26:27,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00020,REQ00015,AMB0130,1,2026-08-13 11:22:46,6,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00021,REQ00016,AMB0122,1,2026-08-05 05:49:40,20,TIMEOUT,FALLBACK_TRIGGERED
ASG00022,REQ00016,AMB0014,2,2026-08-05 05:50:02,26,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00023,REQ00017,AMB0034,1,2026-08-10 14:04:30,7,TIMEOUT,FALLBACK_TRIGGERED
ASG00024,REQ00017,AMB0040,2,2026-08-10 14:04:39,19,TIMEOUT,FALLBACK_TRIGGERED
ASG00025,REQ00017,AMB0056,3,2026-08-10 14:05:00,18,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00026,REQ00018,AMB0057,1,2026-08-03 01:23:53,20,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00027,REQ00019,AMB0074,1,2026-08-03 14:58:51,22,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00028,REQ00021,AMB0054,1,2026-08-24 09:24:26,10,REJECTED,FALLBACK_TRIGGERED
ASG00029,REQ00021,AMB0042,2,2026-08-24 09:24:38,9,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00030,REQ00022,AMB0083,1,2026-08-25 09:16:46,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00031,REQ00023,AMB0113,1,2026-08-23 09:41:44,4,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00032,REQ00024,AMB0053,1,2026-08-09 21:44:53,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00033,REQ00025,AMB0080,1,2026-08-20 05:13:21,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00034,REQ00026,AMB0056,1,2026-09-02 17:53:47,29,TIMEOUT,FALLBACK_TRIGGERED
ASG00035,REQ00026,AMB0119,2,2026-09-02 17:54:18,13,TIMEOUT,FALLBACK_TRIGGERED
ASG00036,REQ00026,AMB0121,3,2026-09-02 17:54:33,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00037,REQ00027,AMB0066,1,2026-08-12 22:49:39,4,TIMEOUT,FALLBACK_TRIGGERED
ASG00038,REQ00027,AMB0005,2,2026-08-12 22:49:45,11,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00039,REQ00028,AMB0106,1,2026-08-29 07:34:15,28,TIMEOUT,FALLBACK_TRIGGERED
ASG00040,REQ00029,AMB0001,1,2026-08-29 14:49:18,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00041,REQ00030,AMB0097,1,2026-08-17 01:41:30,26,REJECTED,FALLBACK_TRIGGERED
ASG00042,REQ00030,AMB0042,2,2026-08-17 01:41:58,21,REJECTED,FALLBACK_TRIGGERED
ASG00043,REQ00030,AMB0031,3,2026-08-17 01:42:21,9,REJECTED,FALLBACK_TRIGGERED
ASG00044,REQ00031,AMB0055,1,2026-08-18 14:57:32,20,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00045,REQ00032,AMB0043,1,2026-08-27 01:25:32,19,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00046,REQ00033,AMB0067,1,2026-08-22 04:08:02,28,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00047,REQ00034,AMB0110,1,2026-08-06 00:16:13,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00048,REQ00035,AMB0056,1,2026-08-08 01:15:26,23,REJECTED,FALLBACK_TRIGGERED
ASG00049,REQ00035,AMB0051,2,2026-08-08 01:15:51,4,TIMEOUT,FALLBACK_TRIGGERED
ASG00050,REQ00036,AMB0093,1,2026-09-02 18:15:45,24,TIMEOUT,FALLBACK_TRIGGERED
ASG00051,REQ00036,AMB0043,2,2026-09-02 18:16:11,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00052,REQ00037,AMB0103,1,2026-09-03 11:04:33,16,TIMEOUT,FALLBACK_TRIGGERED
ASG00053,REQ00037,AMB0009,2,2026-09-03 11:04:51,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00054,REQ00038,AMB0060,1,2026-08-24 08:47:01,7,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00055,REQ00039,AMB0065,1,2026-08-22 04:02:22,24,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00056,REQ00040,AMB0053,1,2026-08-12 04:04:45,14,TIMEOUT,FALLBACK_TRIGGERED
ASG00057,REQ00040,AMB0024,2,2026-08-12 04:05:01,7,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00058,REQ00041,AMB0080,1,2026-08-20 16:25:52,29,TIMEOUT,FALLBACK_TRIGGERED
ASG00059,REQ00041,AMB0090,2,2026-08-20 16:26:23,7,REJECTED,FALLBACK_TRIGGERED
ASG00060,REQ00041,AMB0067,3,2026-08-20 16:26:32,9,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00061,REQ00042,AMB0100,1,2026-08-22 08:07:51,27,REJECTED,FALLBACK_TRIGGERED
ASG00062,REQ00043,AMB0023,1,2026-09-01 11:59:51,19,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00063,REQ00044,AMB0005,1,2026-08-06 10:42:18,13,REJECTED,FALLBACK_TRIGGERED
ASG00064,REQ00044,AMB0097,2,2026-08-06 10:42:33,12,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00065,REQ00045,AMB0025,1,2026-08-23 19:27:17,6,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00066,REQ00046,AMB0087,1,2026-08-11 00:09:54,22,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00067,REQ00047,AMB0093,1,2026-08-03 19:09:43,27,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00068,REQ00048,AMB0096,1,2026-08-18 07:07:01,22,TIMEOUT,FALLBACK_TRIGGERED
ASG00069,REQ00048,AMB0043,2,2026-08-18 07:07:25,6,REJECTED,FALLBACK_TRIGGERED
ASG00070,REQ00048,AMB0128,3,2026-08-18 07:07:33,22,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00071,REQ00049,AMB0027,1,2026-08-14 19:18:44,10,TIMEOUT,FALLBACK_TRIGGERED
ASG00072,REQ00049,AMB0050,2,2026-08-14 19:18:56,26,TIMEOUT,FALLBACK_TRIGGERED
ASG00073,REQ00050,AMB0128,1,2026-08-06 21:54:20,9,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00074,REQ00051,AMB0119,1,2026-08-12 11:32:14,17,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00075,REQ00052,AMB0122,1,2026-08-30 17:08:39,19,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00076,REQ00053,AMB0054,1,2026-09-06 02:08:20,15,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00077,REQ00055,AMB0109,1,2026-08-19 02:16:12,6,REJECTED,FALLBACK_TRIGGERED
ASG00078,REQ00055,AMB0080,2,2026-08-19 02:16:20,6,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00079,REQ00056,AMB0019,1,2026-09-07 18:09:10,22,TIMEOUT,FALLBACK_TRIGGERED
ASG00080,REQ00057,AMB0007,1,2026-08-03 20:49:36,21,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00081,REQ00058,AMB0077,1,2026-08-19 20:19:30,9,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00082,REQ00060,AMB0126,1,2026-08-24 16:35:06,8,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00083,REQ00061,AMB0004,1,2026-08-27 07:55:57,25,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00084,REQ00062,AMB0104,1,2026-09-01 09:31:01,7,TIMEOUT,FALLBACK_TRIGGERED
ASG00085,REQ00062,AMB0008,2,2026-09-01 09:31:10,5,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00086,REQ00063,AMB0021,1,2026-09-08 20:43:30,11,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00087,REQ00064,AMB0086,1,2026-08-24 01:25:03,13,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00088,REQ00065,AMB0001,1,2026-08-08 04:06:25,13,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00089,REQ00066,AMB0051,1,2026-09-02 01:02:02,17,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00090,REQ00067,AMB0128,1,2026-08-21 05:25:39,23,REJECTED,FALLBACK_TRIGGERED
ASG00091,REQ00067,AMB0020,2,2026-08-21 05:26:04,12,REJECTED,FALLBACK_TRIGGERED
ASG00092,REQ00067,AMB0023,3,2026-08-21 05:26:18,4,TIMEOUT,FALLBACK_TRIGGERED
ASG00093,REQ00068,AMB0099,1,2026-08-31 00:23:21,28,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00094,REQ00069,AMB0065,1,2026-09-07 18:14:46,30,TIMEOUT,FALLBACK_TRIGGERED
ASG00095,REQ00069,AMB0005,2,2026-09-07 18:15:18,13,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00096,REQ00070,AMB0023,1,2026-08-03 18:44:07,14,TIMEOUT,FALLBACK_TRIGGERED
ASG00097,REQ00070,AMB0058,2,2026-08-03 18:44:23,20,ACCEPTED,ASSIGNMENT_CONFIRMED
ASG00098,REQ00072,AMB0007,1,2026-08-12 14:58:34,16,ACCEPTED,ASSIGNMENT_CONFIRMED
