segment_id,start_node_id,end_node_id,distance_km,speed_limit_kmph,road_type,one_way
SEG0001,A010,H001,0.06,33,local,False
SEG0002,H001,H005,1.29,29,local,False
SEG0003,A011,H001,1.99,35,local,False
SEG0004,H001,H006,1.99,26,local,False
SEG0005,H002,H026,0.72,35,local,False
SEG0006,A007,H002,1.07,33,local,False
SEG0007,A009,H002,1.69,25,local,False
SEG0008,A006,H002,2.27,42,collector,False
SEG0009,A012,H003,0.05,34,local,False
SEG0010,A019,H003,1.99,35,local,False
SEG0011,H003,H024,2.02,38,collector,False
SEG0012,H003,H006,2.03,48,collector,False
SEG0013,A021,H004,0.06,31,local,False
SEG0014,H004,H007,1.88,35,local,False
SEG0015,A020,H004,1.99,29,local,False
SEG0016,H004,H005,2.08,46,collector,False
SEG0017,A010,H005,1.31,27,local,False
SEG0018,A011,H005,1.54,32,local,False
SEG0019,H005,H006,1.57,33,local,False
SEG0020,A011,H006,0.04,32,local,False
SEG0021,A010,H006,1.96,27,local,False
SEG0022,A012,H006,1.98,25,local,False
SEG0023,A020,H007,0.31,27,local,False
SEG0024,H007,H028,1.45,32,local,False
SEG0025,A023,H007,1.7,34,local,False
SEG0026,A029,H008,0.04,33,local,False
SEG0027,H008,H029,0.62,28,local,False
SEG0028,A030,H008,2.43,39,collector,False
SEG0029,H008,H028,3.0,41,collector,False
SEG0030,A028,H009,0.06,34,local,True
SEG0031,A025,H009,2.7,49,collector,False
SEG0032,A024,H009,3.31,49,collector,False
SEG0033,H009,H023,3.32,41,collector,False
SEG0034,A025,H010,1.99,26,local,False
SEG0035,H009,H010,4.56,35,collector,False
SEG0036,A028,H010,4.59,38,collector,False
SEG0037,A026,H010,5.1,46,collector,False
SEG0038,A014,H011,1.29,35,local,False
SEG0039,A017,H011,2.01,46,collector,False
SEG0040,A013,H011,2.52,37,collector,False
SEG0041,H011,H012,2.54,35,collector,False
SEG0042,A013,H012,0.01,25,local,False
SEG0043,H012,H024,1.65,31,local,False
SEG0044,H012,H027,1.94,35,local,False
SEG0045,A017,H012,2.4,36,collector,False
SEG0046,A018,H013,0.11,32,local,False
SEG0047,H013,H015,0.16,29,local,False
SEG0048,H013,H014,0.21,32,local,False
SEG0049,A024,H013,1.7,29,local,False
SEG0050,A018,H014,0.2,34,local,False
SEG0051,H014,H015,0.24,31,local,False
SEG0052,A024,H014,1.6,33,local,False
SEG0053,A018,H015,0.05,34,local,False
SEG0054,A024,H015,1.82,25,local,False
SEG0055,A033,H016,0.07,30,local,False
SEG0056,A039,H016,1.87,27,local,False
SEG0057,A030,H016,3.16,47,collector,False
SEG0058,H016,H020,3.55,38,collector,False
SEG0059,A034,H017,0.5,34,local,False
SEG0060,A035,H017,4.21,42,collector,False
SEG0061,A032,H017,5.3,49,collector,False
SEG0062,H017,H019,5.32,48,collector,False
SEG0063,A040,H018,1.11,34,local,False
SEG0064,A034,H018,11.59,60,arterial,False
SEG0065,H017,H018,12.09,59,arterial,True
SEG0066,A035,H018,13.8,67,arterial,False
SEG0067,A032,H019,0.05,30,local,False
SEG0068,H019,H020,3.53,44,collector,False
SEG0069,A031,H019,3.62,48,collector,False
SEG0070,A033,H019,3.97,46,collector,False
SEG0071,A031,H020,0.34,32,local,True
SEG0072,A027,H020,2.98,50,collector,False
SEG0073,A033,H020,3.48,36,collector,False
SEG0074,A036,H021,1.43,26,local,True
SEG0075,H021,H022,1.55,27,local,False
SEG0076,H021,H030,2.64,49,collector,False
SEG0077,A038,H021,4.67,47,collector,False
SEG0078,H022,H030,2.12,42,collector,False
SEG0079,A036,H022,2.98,40,collector,False
SEG0080,A038,H022,3.67,47,collector,False
SEG0081,A024,H023,0.07,32,local,False
SEG0082,H014,H023,1.63,27,local,False
SEG0083,H013,H023,1.73,28,local,False
SEG0084,A018,H023,1.8,33,local,False
SEG0085,H024,H027,0.82,34,local,False
SEG0086,A013,H024,1.66,26,local,False
SEG0087,A006,H025,0.06,31,local,True
SEG0088,H025,H026,1.57,26,local,False
SEG0089,A007,H025,1.66,25,local,False
SEG0090,H002,H025,2.27,44,collector,False
SEG0091,A007,H026,0.87,31,local,False
SEG0092,A006,H026,1.57,25,local,False
SEG0093,A013,H027,1.95,28,local,False
SEG0094,H015,H027,2.36,39,collector,False
SEG0095,A020,H028,1.16,29,local,False
SEG0096,A022,H028,1.35,32,local,False
SEG0097,A021,H028,2.41,41,collector,False
SEG0098,A029,H029,0.65,33,local,False
SEG0099,A030,H029,2.52,46,collector,False
SEG0100,H028,H029,3.15,43,collector,False
SEG0101,A038,H030,2.14,48,collector,False
SEG0102,A037,H030,3.51,35,collector,False
SEG0103,A001,A002,6.42,65,arterial,False
SEG0104,A001,A003,8.59,63,arterial,False
SEG0105,A001,A006,10.3,61,arterial,False
SEG0106,A001,H025,10.3,67,arterial,False
SEG0107,A002,A006,3.87,44,collector,False
SEG0108,A002,H025,3.88,50,collector,False
SEG0109,A002,A003,4.71,43,collector,False
SEG0110,A002,A007,5.28,44,collector,False
SEG0111,A003,A004,3.54,50,collector,False
SEG0112,A003,H025,5.54,42,collector,False
SEG0113,A003,A006,5.58,36,collector,False
