day_type,hour_of_day,traffic_state,speed_multiplier
Weekday,0,NORMAL,0.97
Weekday,1,NORMAL,0.97
Weekday,2,NORMAL,0.98
Weekday,3,NORMAL,1.0
Weekday,4,NORMAL,0.99
Weekday,5,NORMAL,1.13
Weekday,6,HEAVY,1.88
Weekday,7,MODERATE,1.45
Weekday,8,HEAVY,1.99
Weekday,9,HEAVY,1.51
Weekday,10,MODERATE,1.48
Weekday,11,MODERATE,1.22
Weekday,12,NORMAL,1.12
Weekday,13,MODERATE,1.23
Weekday,14,HEAVY,1.77
Weekday,15,HEAVY,1.77
Weekday,16,HEAVY,1.72
Weekday,17,MODERATE,1.32
Weekday,18,HEAVY,1.86
Weekday,19,HEAVY,1.63
Weekday,20,HEAVY,1.5
Weekday,21,MODERATE,1.32
Weekday,22,NORMAL,1.14
Weekday,23,NORMAL,1.15
Weekend,0,NORMAL,0.93
Weekend,1,NORMAL,0.91
Weekend,2,NORMAL,0.96
Weekend,3,NORMAL,1.05
Weekend,4,NORMAL,0.96
Weekend,5,NORMAL,1.05
Weekend,6,NORMAL,1.06
Weekend,7,NORMAL,1.02
Weekend,8,MODERATE,1.42
Weekend,9,MODERATE,1.21
Weekend,10,MODERATE,1.39
Weekend,11,HEAVY,1.59
Weekend,12,MODERATE,1.29
Weekend,13,MODERATE,1.35
Weekend,14,NORMAL,1.0
Weekend,15,NORMAL,1.11
Weekend,16,NORMAL,1.0
Weekend,17,MODERATE,1.4
Weekend,18,NORMAL,1.12
Weekend,19,HEAVY,1.8
Weekend,20,MODERATE,1.42
Weekend,21,MODERATE,1.23
Weekend,22,MODERATE,1.27
Weekend,23,NORMAL,1.08
