emergency_id,baseline_ambulance_id,baseline_eta,baseline_distance,uk_ambulance_id,uk_eta,uk_distance,uk_score,traffic
REQ00001,AMB0067,3,0.73,AMB0068,2,0.7,0.201,HEAVY
REQ00002,AMB0006,5,2.27,AMB0007,5,2.1,0.346,NORMAL
REQ00003,AMB0112,3,1.01,AMB0112,3,1,0.166,MODERATE
REQ00004,AMB0063,24,8.56,AMB0031,15,5.2,0.612,NORMAL
REQ00005,AMB0074,12,6.16,AMB0089,7,3.2,0.396,MODERATE
REQ00006,AMB0066,4,1.46,AMB0065,4,1.4,0.331,NORMAL
REQ00007,AMB0103,3,0.7,AMB0102,2,0.6,0.204,NORMAL
REQ00008,AMB0118,8,2.75,AMB0118,8,2.8,0.465,MODERATE
REQ00009,AMB0012,2,0.85,AMB0012,2,0.9,0.177,MODERATE
REQ00010,AMB0107,2,0.81,AMB0107,2,0.8,0.186,NORMAL
REQ00011,AMB0006,4,1.81,AMB0006,4,1.8,0.281,NORMAL
REQ00012,AMB0046,6,2.95,AMB0046,6,3,0.287,NORMAL
REQ00013,AMB0074,13,5.91,AMB0088,7,3.1,0.297,NORMAL
REQ00014,AMB0076,5,1.31,AMB0076,5,1.3,0.296,NORMAL
REQ00015,AMB0116,22,7.21,AMB0118,4,1.3,0.193,MODERATE
REQ00016,AMB0007,5,1.98,AMB0007,5,2,0.298,NORMAL
REQ00017,AMB0033,7,1.95,AMB0033,7,2,0.268,MODERATE
REQ00018,AMB0113,5,2.23,AMB0113,5,2.2,0.398,NORMAL
REQ00019,AMB0113,2,1.05,AMB0113,2,1.1,0.206,NORMAL
REQ00020,AMB0093,6,1.54,AMB0093,6,1.5,0.21,NORMAL
REQ00021,AMB0123,9,3.82,AMB0123,9,3.8,0.555,MODERATE
REQ00022,AMB0048,3,0.84,AMB0049,1,0.5,0.199,HEAVY
REQ00023,AMB0041,2,0.43,AMB0041,1,0.4,0.156,MODERATE
REQ00024,AMB0057,6,1.68,AMB0057,6,1.7,0.374,NORMAL
REQ00025,AMB0079,21,12.4,AMB0083,9,5.6,0.335,NORMAL
REQ00026,AMB0080,23,13.99,AMB0079,23,13.7,0.571,MODERATE
REQ00027,AMB0110,6,2.42,AMB0112,5,2.1,0.42,NORMAL
REQ00028,AMB0002,10,2.7,AMB0001,9,2.5,0.409,NORMAL
REQ00029,AMB0055,2,0.7,AMB0055,2,0.7,0.191,MODERATE
REQ00030,AMB0014,6,2.43,AMB0014,6,2.4,0.427,NORMAL
REQ00031,AMB0126,2,0.16,AMB0126,1,0.2,0.089,NORMAL
REQ00032,AMB0074,3,1.43,AMB0074,3,1.4,0.293,NORMAL
REQ00033,AMB0029,3,1.45,AMB0026,3,1.2,0.273,NORMAL
REQ00034,AMB0101,24,8.84,AMB0103,15,4.8,0.648,NORMAL
REQ00035,AMB0051,2,0.9,AMB0049,2,0.9,0.235,NORMAL
REQ00036,AMB0110,7,2.88,AMB0110,7,2.9,0.495,MODERATE
REQ00037,AMB0075,21,8.51,AMB0074,18,7.6,0.424,HEAVY
REQ00038,AMB0103,4,1.37,AMB0103,4,1.4,0.268,MODERATE
REQ00039,AMB0055,5,1.57,AMB0055,5,1.6,0.239,NORMAL
REQ00040,AMB0093,2,0.34,AMB0093,1,0.3,0.12,NORMAL
REQ00041,AMB0016,3,1.64,AMB0014,2,1.2,0.216,MODERATE
REQ00042,AMB0047,11,2.96,AMB0046,10,2.7,0.322,MODERATE
REQ00043,AMB0071,4,0.96,AMB0071,4,1,0.267,HEAVY
REQ00044,AMB0039,5,1.32,AMB0037,4,1.1,0.302,MODERATE
REQ00045,AMB0043,5,1.73,AMB0043,5,1.7,0.233,MODERATE
REQ00046,AMB0067,6,1.7,AMB0068,6,1.7,0.306,NORMAL
REQ00047,AMB0055,4,1.45,AMB0055,4,1.5,0.305,MODERATE
REQ00048,AMB0131,3,1.63,AMB0131,3,1.6,0.222,NORMAL
REQ00049,AMB0009,6,2.2,AMB0006,5,2.3,0.443,HEAVY
REQ00050,AMB0089,21,8.46,AMB0088,7,1.9,0.163,NORMAL
REQ00051,AMB0014,9,2.7,AMB0023,6,2.5,0.639,MODERATE
REQ00052,AMB0065,3,1.1,AMB0065,3,1.1,0.291,HEAVY
REQ00053,AMB0104,4,1.62,AMB0104,4,1.6,0.301,NORMAL
REQ00054,AMB0037,3,0.85,AMB0037,3,0.9,0.207,NORMAL
REQ00055,AMB0093,6,1.95,AMB0093,6,2,0.248,NORMAL
