emergency_id,first_ambulance_id,first_response,attempts_needed,final_ambulance_id,final_status,recovery_time_sec
REQ00001,AMB0068,ACCEPTED,1,AMB0068,ACCEPTED,0
REQ00002,AMB0007,ACCEPTED,1,AMB0007,ACCEPTED,0
REQ00003,AMB0112,ACCEPTED,1,AMB0112,ACCEPTED,0
REQ00004,AMB0031,TIMEOUT,2,AMB0057,ACCEPTED,15
REQ00005,AMB0089,ACCEPTED,1,AMB0089,ACCEPTED,0
REQ00006,AMB0065,TIMEOUT,2,AMB0063,ACCEPTED,15
REQ00007,AMB0102,ACCEPTED,1,AMB0102,ACCEPTED,0
REQ00008,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00009,AMB0012,ACCEPTED,1,AMB0012,ACCEPTED,0
REQ00010,AMB0107,ACCEPTED,1,AMB0107,ACCEPTED,0
REQ00011,AMB0006,ACCEPTED,1,AMB0006,ACCEPTED,0
REQ00012,AMB0046,TIMEOUT,2,AMB0047,ACCEPTED,15
REQ00013,AMB0088,ACCEPTED,1,AMB0088,ACCEPTED,0
REQ00014,AMB0076,ACCEPTED,1,AMB0076,ACCEPTED,0
REQ00015,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00016,AMB0007,ACCEPTED,1,AMB0007,ACCEPTED,0
REQ00017,AMB0033,REJECTED,2,AMB0035,ACCEPTED,15
REQ00018,AMB0113,TIMEOUT,2,AMB0114,ACCEPTED,15
REQ00019,AMB0113,ACCEPTED,1,AMB0113,ACCEPTED,0
REQ00020,AMB0093,ACCEPTED,1,AMB0093,ACCEPTED,0
REQ00021,AMB0123,ACCEPTED,1,AMB0123,ACCEPTED,0
REQ00022,AMB0049,ACCEPTED,1,AMB0049,ACCEPTED,0
REQ00023,AMB0041,ACCEPTED,1,AMB0041,ACCEPTED,0
REQ00024,AMB0057,TIMEOUT,2,AMB0058,ACCEPTED,15
REQ00025,AMB0083,ACCEPTED,1,AMB0083,ACCEPTED,0
REQ00026,AMB0079,ACCEPTED,1,AMB0079,ACCEPTED,0
REQ00027,AMB0112,ACCEPTED,1,AMB0112,ACCEPTED,0
REQ00028,AMB0001,ACCEPTED,1,AMB0001,ACCEPTED,0
REQ00029,AMB0055,REJECTED,3,AMB0052,ACCEPTED,30
REQ00030,AMB0014,ACCEPTED,1,AMB0014,ACCEPTED,0
REQ00031,AMB0126,ACCEPTED,1,AMB0126,ACCEPTED,0
REQ00032,AMB0074,ACCEPTED,1,AMB0074,ACCEPTED,0
REQ00033,AMB0026,ACCEPTED,1,AMB0026,ACCEPTED,0
REQ00034,AMB0103,ACCEPTED,1,AMB0103,ACCEPTED,0
REQ00035,AMB0049,REJECTED,2,AMB0049,ACCEPTED,15
REQ00036,AMB0110,ACCEPTED,1,AMB0110,ACCEPTED,0
REQ00037,AMB0074,ACCEPTED,1,AMB0074,ACCEPTED,0
REQ00038,AMB0103,ACCEPTED,1,AMB0103,ACCEPTED,0
REQ00039,AMB0055,ACCEPTED,1,AMB0055,ACCEPTED,0
REQ00040,AMB0093,TIMEOUT,2,AMB0091,ACCEPTED,15
REQ00041,AMB0014,REJECTED,2,AMB0014,ACCEPTED,15
REQ00042,AMB0046,ACCEPTED,1,AMB0046,ACCEPTED,0
REQ00043,AMB0071,ACCEPTED,1,AMB0071,ACCEPTED,0
REQ00044,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00045,AMB0043,ACCEPTED,1,AMB0043,ACCEPTED,0
REQ00046,AMB0068,ACCEPTED,1,AMB0068,ACCEPTED,0
REQ00047,AMB0055,REJECTED,2,AMB0053,ACCEPTED,15
REQ00048,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
REQ00049,AMB0006,ACCEPTED,1,AMB0006,ACCEPTED,0
REQ00050,AMB0088,ACCEPTED,1,AMB0088,ACCEPTED,0
REQ00051,AMB0023,ACCEPTED,1,AMB0023,ACCEPTED,0
REQ00052,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00053,AMB0104,REJECTED,2,AMB0102,ACCEPTED,15
REQ00054,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00055,AMB0093,ACCEPTED,1,AMB0093,ACCEPTED,0
REQ00056,AMB0128,ACCEPTED,1,AMB0128,ACCEPTED,0
REQ00057,AMB0036,ACCEPTED,1,AMB0036,ACCEPTED,0
REQ00058,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00059,AMB0097,REJECTED,2,AMB0095,ACCEPTED,15
REQ00060,AMB0044,ACCEPTED,1,AMB0044,ACCEPTED,0
REQ00061,AMB0072,ACCEPTED,1,AMB0072,ACCEPTED,0
REQ00062,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00063,AMB0046,ACCEPTED,1,AMB0046,ACCEPTED,0
REQ00064,AMB0006,ACCEPTED,1,AMB0006,ACCEPTED,0
REQ00065,AMB0113,REJECTED,3,AMB0115,ACCEPTED,30
REQ00066,AMB0102,ACCEPTED,1,AMB0102,ACCEPTED,0
REQ00067,AMB0118,ACCEPTED,1,AMB0118,ACCEPTED,0
REQ00068,AMB0128,ACCEPTED,1,AMB0128,ACCEPTED,0
REQ00069,AMB0065,ACCEPTED,1,AMB0065,ACCEPTED,0
REQ00070,AMB0059,TIMEOUT,2,AMB0062,ACCEPTED,15
REQ00071,AMB0033,REJECTED,3,AMB0033,ACCEPTED,30
REQ00072,AMB0102,ACCEPTED,1,AMB0102,ACCEPTED,0
REQ00073,AMB0010,ACCEPTED,1,AMB0010,ACCEPTED,0
REQ00074,AMB0037,ACCEPTED,1,AMB0037,ACCEPTED,0
REQ00075,AMB0131,ACCEPTED,1,AMB0131,ACCEPTED,0
