emergency_id,emergency_type,selected_hospital_id,selected_hospital_name,candidate_count,selected_distance_km,selected_eta_min,icu_available,general_available
REQ00001,Trauma,H028,"Kauvery Hospital Alwarpet",22,1.7,3,1,34
REQ00002,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,7,13,8,11
REQ00003,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,5.2,10,18,34
REQ00004,Accident,H006,"Institute of Child Health and Hospital for Children",22,1.4,3,20,12
REQ00005,Other,H023,"ESIC Medical College and Hospital",30,0.2,2,5,32
REQ00006,Unconscious,H004,"Government Royapettah Hospital",30,0.8,2,13,11
REQ00007,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,0.5,2,18,34
REQ00008,Cardiac,H021,"Hindu Mission Hospital",18,1.1,2,16,6
REQ00009,Accident,H011,"Madras Medical Mission",22,7.9,15,5,4
REQ00010,Cardiac,H016,"Apollo Speciality Hospital OMR",18,0.9,2,19,2
REQ00011,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,6.8,13,8,11
REQ00012,General Medical,H010,"Sri Ramachandra Medical Centre",30,6.5,12,1,10
REQ00013,Trauma,H023,"ESIC Medical College and Hospital",22,1,2,5,32
REQ00014,Accident,H014,"Vijaya Hospital",22,1.2,2,10,12
REQ00015,General Medical,H021,"Hindu Mission Hospital",30,1.4,3,16,6
REQ00016,Trauma,H025,"Apollo Hospitals Tondiarpet",22,4.2,8,9,9
REQ00017,Trauma,H003,"Government Kilpauk Medical College Hospital",22,1.7,3,1,9
REQ00018,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,5.8,11,18,34
REQ00019,Breathing,H017,"Gleneagles HealthCity Chennai",30,3.7,7,25,26
REQ00020,Unconscious,H008,"Fortis Malar Hospital",30,1.4,3,4,34
REQ00021,Stroke,H021,"Hindu Mission Hospital",18,3.7,7,16,6
REQ00022,General Medical,H011,"Madras Medical Mission",30,2.2,4,5,4
REQ00023,Unconscious,H011,"Madras Medical Mission",30,1.6,3,5,4
REQ00024,General Medical,H024,"Billroth Hospitals",30,1.9,3,4,32
REQ00025,General Medical,H010,"Sri Ramachandra Medical Centre",30,0.3,2,1,10
REQ00026,General Medical,H010,"Sri Ramachandra Medical Centre",30,1.5,3,1,10
REQ00027,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,4.5,8,18,34
REQ00028,Accident,H025,"Apollo Hospitals Tondiarpet",22,12.4,23,9,9
REQ00029,Stroke,H013,"SIMS Hospital",18,0.9,2,5,3
REQ00030,General Medical,H025,"Apollo Hospitals Tondiarpet",30,1.9,4,9,9
REQ00031,Cardiac,H016,"Apollo Speciality Hospital OMR",18,1.5,3,19,2
REQ00032,Trauma,H023,"ESIC Medical College and Hospital",22,0.9,2,5,32
REQ00033,Accident,H001,"Rajiv Gandhi Government General Hospital",22,1.1,2,6,32
REQ00034,Burn,H020,"Prashanth Super Speciality Hospital",30,2.4,5,2,14
REQ00035,Unconscious,H013,"SIMS Hospital",30,1.6,3,5,3
REQ00036,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,5,9,18,34
REQ00037,Breathing,H023,"ESIC Medical College and Hospital",30,1.5,3,5,32
REQ00038,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,1.5,3,18,34
REQ00039,Breathing,H027,"MGM Healthcare",30,1.2,2,5,16
REQ00040,Stroke,H029,"Adyar Cancer Institute",18,0.9,2,2,46
REQ00041,Breathing,H025,"Apollo Hospitals Tondiarpet",30,1.1,2,9,9
REQ00042,Accident,H011,"Madras Medical Mission",22,12.3,23,5,4
REQ00043,Breathing,H007,"Apollo Hospitals Greams Road",30,1.6,3,4,24
REQ00044,Accident,H027,"MGM Healthcare",22,1.1,2,5,16
REQ00045,Unconscious,H011,"Madras Medical Mission",30,3.8,7,5,4
REQ00046,Breathing,H028,"Kauvery Hospital Alwarpet",30,2.7,5,1,34
REQ00047,Trauma,H015,"Kauvery Hospital",22,1.2,2,19,7
REQ00048,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,16.9,32,18,34
REQ00049,General Medical,H025,"Apollo Hospitals Tondiarpet",30,6.4,12,9,9
REQ00050,Unconscious,H009,"MIOT International",30,1.8,3,8,26
