emergency_id,baseline_route_distance,baseline_route_eta,uk_route_distance,uk_route_eta,traffic_conditions,selected_route
REQ00001,0.7,3,0.7,2,HEAVY,ROUTE-PRIMARY
REQ00002,2.1,5,2.1,5,NORMAL,ROUTE-PRIMARY
REQ00003,1,3,1,3,MODERATE,ROUTE-PRIMARY
REQ00004,5.2,15,5.2,15,NORMAL,ROUTE-PRIMARY
REQ00005,3.2,7,3.2,7,MODERATE,ROUTE-PRIMARY
REQ00006,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00007,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00008,2.8,8,2.8,8,MODERATE,ROUTE-PRIMARY
REQ00009,0.9,2,0.9,2,MODERATE,ROUTE-PRIMARY
REQ00010,0.8,2,0.8,2,NORMAL,ROUTE-PRIMARY
REQ00011,1.8,4,1.8,4,NORMAL,ROUTE-PRIMARY
REQ00012,3,6,3,6,NORMAL,ROUTE-PRIMARY
REQ00013,3.1,7,3.1,7,NORMAL,ROUTE-PRIMARY
REQ00014,1.3,5,1.3,5,NORMAL,ROUTE-PRIMARY
REQ00015,1.3,4,1.3,4,MODERATE,ROUTE-PRIMARY
REQ00016,2,5,2,5,NORMAL,ROUTE-PRIMARY
REQ00017,2,7,2,7,MODERATE,ROUTE-PRIMARY
REQ00018,2.2,5,2.2,5,NORMAL,ROUTE-PRIMARY
REQ00019,1.1,2,1.1,2,NORMAL,ROUTE-PRIMARY
REQ00020,1.5,6,1.5,6,NORMAL,ROUTE-PRIMARY
REQ00021,3.8,9,3.8,9,MODERATE,ROUTE-PRIMARY
REQ00022,0.5,2,0.5,1,HEAVY,ROUTE-PRIMARY
REQ00023,0.4,2,0.4,1,MODERATE,ROUTE-PRIMARY
REQ00024,1.7,6,1.7,6,NORMAL,ROUTE-PRIMARY
REQ00025,5.6,9,5.6,9,NORMAL,ROUTE-PRIMARY
REQ00026,13.7,23,13.7,23,MODERATE,ROUTE-PRIMARY
REQ00027,2.1,5,2.1,5,NORMAL,ROUTE-PRIMARY
REQ00028,2.5,9,2.5,9,NORMAL,ROUTE-PRIMARY
REQ00029,0.7,2,0.7,2,MODERATE,ROUTE-PRIMARY
REQ00030,2.4,6,2.4,6,NORMAL,ROUTE-PRIMARY
REQ00031,0.2,2,0.2,1,NORMAL,ROUTE-PRIMARY
REQ00032,1.4,3,1.4,3,NORMAL,ROUTE-PRIMARY
REQ00033,1.2,3,1.2,3,NORMAL,ROUTE-PRIMARY
REQ00034,4.8,15,4.8,15,NORMAL,ROUTE-PRIMARY
REQ00035,0.9,2,0.9,2,NORMAL,ROUTE-PRIMARY
REQ00036,2.9,7,2.9,7,MODERATE,ROUTE-PRIMARY
REQ00037,7.6,18,7.6,18,HEAVY,ROUTE-PRIMARY
REQ00038,1.4,4,1.4,4,MODERATE,ROUTE-PRIMARY
REQ00039,1.6,5,1.6,5,NORMAL,ROUTE-PRIMARY
REQ00040,0.3,2,0.3,1,NORMAL,ROUTE-PRIMARY
REQ00041,1.2,3,1.2,2,MODERATE,ROUTE-PRIMARY
REQ00042,2.7,10,2.7,10,MODERATE,ROUTE-PRIMARY
REQ00043,1,4,1,4,HEAVY,ROUTE-PRIMARY
REQ00044,1.1,4,1.1,4,MODERATE,ROUTE-PRIMARY
REQ00045,1.7,5,1.7,5,MODERATE,ROUTE-PRIMARY
REQ00046,1.7,6,1.7,6,NORMAL,ROUTE-PRIMARY
REQ00047,1.5,4,1.5,4,MODERATE,ROUTE-PRIMARY
REQ00048,1.6,3,1.6,3,NORMAL,ROUTE-PRIMARY
REQ00049,2.3,6,2.3,5,HEAVY,ROUTE-PRIMARY
REQ00050,1.9,7,1.9,7,NORMAL,ROUTE-PRIMARY
REQ00051,2.5,6,2.5,6,MODERATE,ROUTE-PRIMARY
REQ00052,1.1,3,1.1,3,HEAVY,ROUTE-PRIMARY
REQ00053,1.6,4,1.6,4,NORMAL,ROUTE-PRIMARY
REQ00054,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00055,2,6,2,6,NORMAL,ROUTE-PRIMARY
REQ00056,2.4,8,2.4,8,MODERATE,ROUTE-PRIMARY
REQ00057,1.1,4,1.1,4,MODERATE,ROUTE-PRIMARY
REQ00058,1.1,4,1.1,3,HEAVY,ROUTE-PRIMARY
REQ00059,1.6,4,1.6,4,NORMAL,ROUTE-PRIMARY
REQ00060,3.4,11,3.4,11,NORMAL,ROUTE-PRIMARY
REQ00061,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00062,1.3,3,1.3,3,MODERATE,ROUTE-PRIMARY
REQ00063,3.1,8,3.1,8,MODERATE,ROUTE-PRIMARY
REQ00064,1.9,4,1.9,4,NORMAL,ROUTE-PRIMARY
REQ00065,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00066,1.9,5,1.9,5,NORMAL,ROUTE-PRIMARY
REQ00067,3.3,10,3.3,10,NORMAL,ROUTE-PRIMARY
REQ00068,0.7,2,0.7,2,NORMAL,ROUTE-PRIMARY
REQ00069,1.8,6,1.8,6,MODERATE,ROUTE-PRIMARY
REQ00070,0.7,2,0.7,2,HEAVY,ROUTE-PRIMARY
REQ00071,2.3,7,2.3,7,NORMAL,ROUTE-PRIMARY
REQ00072,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00073,1,2,1,2,HEAVY,ROUTE-PRIMARY
REQ00074,1.6,6,1.6,6,MODERATE,ROUTE-PRIMARY
REQ00075,2.4,9,2.4,9,NORMAL,ROUTE-PRIMARY
REQ00076,2.5,7,2.5,7,HEAVY,ROUTE-PRIMARY
REQ00077,3.5,11,3.5,11,MODERATE,ROUTE-PRIMARY
REQ00078,1.3,5,1.3,5,NORMAL,ROUTE-PRIMARY
REQ00079,1.4,5,1.4,5,HEAVY,ROUTE-PRIMARY
REQ00080,3.1,9,3.1,9,NORMAL,ROUTE-PRIMARY
REQ00081,2.6,8,2.6,8,MODERATE,ROUTE-PRIMARY
REQ00082,1.6,6,1.6,6,HEAVY,ROUTE-PRIMARY
REQ00083,1.5,5,1.5,5,MODERATE,ROUTE-PRIMARY
REQ00084,1.4,3,1.4,3,NORMAL,ROUTE-PRIMARY
REQ00085,1.3,5,1.3,5,NORMAL,ROUTE-PRIMARY
REQ00086,1.2,4,1.2,4,MODERATE,ROUTE-PRIMARY
REQ00087,1,3,1,3,MODERATE,ROUTE-PRIMARY
REQ00088,1.9,5,1.9,5,NORMAL,ROUTE-PRIMARY
REQ00089,2,7,2,7,MODERATE,ROUTE-PRIMARY
REQ00090,0.1,2,0.1,1,MODERATE,ROUTE-PRIMARY
REQ00091,1.3,4,1.3,4,NORMAL,ROUTE-PRIMARY
REQ00092,2,4,2,4,MODERATE,ROUTE-PRIMARY
REQ00093,1,3,1,3,NORMAL,ROUTE-PRIMARY
REQ00094,2,5,2,5,NORMAL,ROUTE-PRIMARY
REQ00095,5.1,10,5.1,9,NORMAL,ROUTE-PRIMARY
REQ00096,2.7,8,2.7,7,MODERATE,ROUTE-PRIMARY
REQ00097,2.2,9,2.2,9,NORMAL,ROUTE-PRIMARY
REQ00098,1.2,4,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00099,1.2,4,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00100,3,9,3,9,NORMAL,ROUTE-PRIMARY
REQ00101,2.5,9,2.5,9,MODERATE,ROUTE-PRIMARY
REQ00102,2.6,8,2.6,7,NORMAL,ROUTE-PRIMARY
REQ00103,0.5,2,0.5,2,HEAVY,ROUTE-PRIMARY
REQ00104,1.5,4,1.5,4,NORMAL,ROUTE-PRIMARY
REQ00105,1.6,4,1.6,4,MODERATE,ROUTE-PRIMARY
REQ00106,2.2,6,2.2,6,NORMAL,ROUTE-PRIMARY
REQ00107,2.3,7,2.3,7,NORMAL,ROUTE-PRIMARY
REQ00108,1.1,4,1.1,4,NORMAL,ROUTE-PRIMARY
REQ00109,1.7,6,1.7,6,NORMAL,ROUTE-PRIMARY
REQ00110,2.5,7,2.5,7,NORMAL,ROUTE-PRIMARY
REQ00111,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00112,6.9,15,6.9,15,NORMAL,ROUTE-PRIMARY
REQ00113,4.2,12,4.2,12,MODERATE,ROUTE-PRIMARY
REQ00114,1.2,4,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00115,3.1,8,3.1,8,NORMAL,ROUTE-PRIMARY
REQ00116,3.4,7,3.4,7,MODERATE,ROUTE-PRIMARY
REQ00117,2.3,6,2.3,6,NORMAL,ROUTE-PRIMARY
REQ00118,1.6,6,1.6,6,NORMAL,ROUTE-PRIMARY
REQ00119,3.4,9,3.4,9,NORMAL,ROUTE-PRIMARY
REQ00120,0.8,3,0.8,3,NORMAL,ROUTE-PRIMARY
REQ00121,6.1,13,6.1,13,NORMAL,ROUTE-PRIMARY
REQ00122,3,6,3,6,NORMAL,ROUTE-PRIMARY
REQ00123,3.2,8,3.2,8,NORMAL,ROUTE-PRIMARY
REQ00124,2,5,2,5,HEAVY,ROUTE-PRIMARY
REQ00125,1.8,6,1.8,6,NORMAL,ROUTE-PRIMARY
REQ00126,1.5,4,1.5,4,NORMAL,ROUTE-PRIMARY
REQ00127,1.5,4,1.5,4,HEAVY,ROUTE-PRIMARY
REQ00128,3.7,7,3.7,7,MODERATE,ROUTE-PRIMARY
REQ00129,0.3,2,0.3,1,MODERATE,ROUTE-PRIMARY
REQ00130,2.7,6,2.7,6,NORMAL,ROUTE-PRIMARY
REQ00131,2.1,8,2.1,8,MODERATE,ROUTE-PRIMARY
REQ00132,2.6,8,2.6,8,NORMAL,ROUTE-PRIMARY
REQ00133,3.1,9,3.1,9,NORMAL,ROUTE-PRIMARY
REQ00134,0.7,3,0.7,3,NORMAL,ROUTE-PRIMARY
REQ00135,0.9,3,0.9,3,MODERATE,ROUTE-PRIMARY
REQ00136,1.2,5,1.2,5,HEAVY,ROUTE-PRIMARY
REQ00137,3.6,8,3.6,8,NORMAL,ROUTE-PRIMARY
REQ00138,3.1,9,3.1,9,NORMAL,ROUTE-PRIMARY
REQ00139,3,8,3,8,HEAVY,ROUTE-PRIMARY
REQ00140,1.3,4,1.3,4,MODERATE,ROUTE-PRIMARY
REQ00141,0.7,2,0.7,2,MODERATE,ROUTE-PRIMARY
REQ00142,0.9,3,0.9,3,HEAVY,ROUTE-PRIMARY
REQ00143,0.7,2,0.7,2,NORMAL,ROUTE-PRIMARY
REQ00144,0.7,3,0.7,3,NORMAL,ROUTE-PRIMARY
REQ00145,2.7,9,2.7,9,HEAVY,ROUTE-PRIMARY
REQ00146,2.4,6,2.4,6,MODERATE,ROUTE-PRIMARY
REQ00147,2.2,5,2.2,5,NORMAL,ROUTE-PRIMARY
REQ00148,3.2,9,3.2,9,NORMAL,ROUTE-PRIMARY
REQ00149,7.3,13,7.3,13,NORMAL,ROUTE-PRIMARY
REQ00150,1.3,3,1.3,3,NORMAL,ROUTE-PRIMARY
REQ00151,2.2,5,2.2,5,NORMAL,ROUTE-PRIMARY
REQ00152,1.2,5,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00153,3.3,9,3.3,9,MODERATE,ROUTE-PRIMARY
REQ00154,1.6,5,1.6,5,HEAVY,ROUTE-PRIMARY
REQ00155,1.3,5,1.3,5,NORMAL,ROUTE-PRIMARY
REQ00156,1.7,6,1.7,6,NORMAL,ROUTE-PRIMARY
REQ00157,1.6,6,1.6,6,NORMAL,ROUTE-PRIMARY
